day;product;requested_qty_today;produced_qty;scrap_qty;good_qty;time_spent_producing_min;setup_spent_min;total_cost_eur
31;IS;134;134;4;130;268.0;30.0;202.6
31;IR;471;60;2;58;150.0;30.0;120.0
32;IS;107;107;3;104;214.0;30.0;164.8
32;IR;502;82;3;79;205.0;30.0;158.5
33;IS;97;97;2;95;194.0;30.0;150.8
33;IR;537;90;3;87;225.0;30.0;172.5
34;IS;60;60;1;59;120.0;30.0;99.0
34;IR;565;120;4;116;300.0;30.0;225.0
35;IS;114;114;3;111;228.0;30.0;174.6
35;IR;534;76;3;73;190.0;30.0;148.0
36;IS;56;56;1;55;112.0;30.0;93.4
36;IR;543;123;4;119;307.5;30.0;230.25
37;IS;126;126;3;123;252.0;30.0;191.4
37;IR;472;67;2;65;167.5;30.0;132.25
38;IS;71;71;2;69;142.0;30.0;114.4
38;IR;459;111;4;107;277.5;30.0;209.25
39;IS;62;62;1;61;124.0;30.0;101.8
39;IR;480;118;4;114;295.0;30.0;221.5
40;IS;73;73;2;71;146.0;30.0;117.2
40;IR;465;109;4;105;272.5;30.0;205.75
41;IS;145;145;4;141;290.0;30.0;218.0
41;IR;502;52;2;50;130.0;30.0;106.0
42;IS;60;60;1;59;120.0;30.0;99.0
42;IR;527;120;4;116;300.0;30.0;225.0
43;IS;83;83;2;81;166.0;30.0;131.2
43;IR;502;101;4;97;252.5;30.0;191.75
44;IS;132;132;3;129;264.0;30.0;199.8
44;IR;507;62;2;60;155.0;30.0;123.5
45;IS;52;52;1;51;104.0;30.0;87.8
45;IR;555;126;5;121;315.0;30.0;235.5
46;IS;78;78;2;76;156.0;30.0;124.2
46;IR;543;105;4;101;262.5;30.0;198.75
47;IS;146;146;4;142;292.0;30.0;219.4
47;IR;532;51;2;49;127.5;30.0;104.25
48;IS;87;87;2;85;174.0;30.0;136.8
48;IR;597;98;3;95;245.0;30.0;186.5
49;IS;113;113;3;110;226.0;30.0;173.2
49;IR;637;77;3;74;192.5;30.0;149.75
50;IS;96;96;2;94;192.0;30.0;149.4
50;IR;641;91;3;88;227.5;30.0;174.25
51;IS;74;74;2;72;148.0;30.0;118.6
51;IR;657;108;4;104;270.0;30.0;204.0
52;IS;85;85;2;83;170.0;30.0;134.0
52;IR;601;100;4;96;250.0;30.0;190.0
53;IS;113;113;3;110;226.0;30.0;173.2
53;IR;560;77;3;74;192.5;30.0;149.75
54;IS;59;59;1;58;118.0;30.0;97.6
54;IR;605;120;4;116;300.0;30.0;225.0
55;IS;87;87;2;85;174.0;30.0;136.8
55;IR;585;98;3;95;245.0;30.0;186.5
56;IS;115;115;3;112;230.0;30.0;176.0
56;IR;557;76;3;73;190.0;30.0;148.0
57;IS;71;71;2;69;142.0;30.0;114.4
57;IR;613;111;4;107;277.5;30.0;209.25
58;IS;135;135;4;131;270.0;30.0;204.0
58;IR;555;60;2;58;150.0;30.0;120.0
59;IS;138;138;4;134;276.0;30.0;208.2
59;IR;629;57;2;55;142.5;30.0;114.75
60;IS;75;75;2;73;150.0;30.0;120.0
60;IR;693;108;4;104;270.0;30.0;204.0
